N_EXTRA_TASKS,TASK,TRAIN_LOSS,VAL_LOSS,TRAIN_MAE,TEST_MAE,TEST_bias,TEST_eacf,TEST_eacf10
9,PHL_CHN_IDN_IND_JPN_KOR_MYS_NZL_PAK_QAT,0.009059451753273606,0.007085519842803478,17.00262905139201,14.033752904562792,0.01645823009312153,-0.08233355234925878,1.3234931645336807
15,PHL_AUS_CHN_HKG_IDN_IND_JPN_MMR_NZL_PAK_QAT_SGP_THA_TWN_USA_VNM,0.00857178634032607,0.006860627792775631,19.08936443628565,14.15203286766803,-0.0215939711779356,-0.0319675565633409,1.240843535668452
8,PHL_AUS_IND_JPN_NZL_PAK_QAT_SGP_TWN,0.008957867044955492,0.008203074336051941,18.758116488459244,14.231662475412929,-0.0010046124225482345,0.036641079642315326,1.2758558548644272
10,PHL_AUS_IDN_IND_MMR_MYS_NZL_PAK_SGP_THA_VNM,0.0095556506421417,0.007532553747296333,19.02740634163803,14.394480137463423,-0.021160364151000977,0.06745442667958364,1.2708705361884198
12,PHL_AUS_CHN_IDN_JPN_KOR_MMR_NZL_QAT_SGP_TWN_USA_VNM,0.00860924378503114,0.008062366396188736,18.438011852588883,14.456537381902365,-0.02991221658885479,-0.03481861555104121,1.239685662887433
11,PHL_CHN_IDN_IND_JPN_MMR_MYS_PAK_SGP_THA_TWN_VNM,0.00789133773650974,0.0063247461803257465,18.789117080933398,14.81282669025215,-0.022945761680603027,0.02163607197672541,1.204588855838947
16,PHL_AUS_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_QAT_SGP_THA_TWN_USA_VNM,0.006288018077611923,0.0064093321561813354,16.268195612121012,15.498690548840376,-0.029556818306446075,-0.028661030049404033,1.2178964269512427
12,PHL_AUS_CHN_HKG_KOR_MMR_MYS_NZL_PAK_SGP_THA_TWN_VNM,0.008418510667979717,0.006615737918764353,18.28610658832135,15.995391711952516,-0.049161892384290695,-8.576646807284393e-05,1.2008554108083693
16,PHL_AUS_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_PAK_QAT_SGP_THA_USA_VNM,0.008058826555497944,0.007785451598465443,19.657422245210643,16.070294739660973,-0.03742329031229019,0.09059617407195811,1.2292970315592529
17,PHL_AUS_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_PAK_QAT_SGP_THA_TWN_USA_VNM,0.008212779182940722,0.0069891344755887985,18.022428290278043,16.15546653272927,0.010928420349955559,0.1254803984182611,1.221707196639399
13,PHL_AUS_CHN_HKG_IDN_IND_KOR_MMR_MYS_NZL_QAT_TWN_USA_VNM,0.007276517688296735,0.006299491040408611,18.83366786422369,16.526004367176434,-0.047681741416454315,0.0986968561291757,1.2027177960827093
15,PHL_AUS_CHN_HKG_IDN_JPN_KOR_MMR_MYS_NZL_PAK_QAT_SGP_THA_TWN_USA,0.007559204590506852,0.0071145882830023766,17.020804458967657,16.85510110046211,-0.04447055235505104,-0.10454045252447951,1.3138193445043411
5,PHL_IND_JPN_MMR_QAT_USA,0.0058322264812886715,0.005998479202389717,15.744306248291284,17.18559443496958,-0.005261548329144716,-0.2120394752691448,1.6502495746318393
10,PHL_AUS_HKG_IDN_IND_JPN_KOR_NZL_PAK_QAT_THA,0.008609910029917955,0.011998280882835388,16.981466246203194,18.637150747927755,-0.05565071851015091,0.07516337356436728,1.2706548033513028
8,PHL_AUS_CHN_HKG_IDN_QAT_SGP_THA_VNM,0.008153602248057723,0.006520850118249655,19.05787557684171,19.000522556404928,-0.057726047933101654,0.12248135037093834,1.2265158296025918
15,PHL_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_PAK_SGP_THA_TWN_USA_VNM,0.008318943087942898,0.009186958894133568,18.66074375955483,19.490907691828056,-0.05953442305326462,0.12322606167511088,1.2359129074353667
16,PHL_AUS_CHN_HKG_IDN_IND_JPN_KOR_MMR_MYS_NZL_PAK_QAT_SGP_TWN_USA_VNM,0.01058575650677085,0.00933126825839281,21.93459387675264,19.550166820538553,-0.05815041810274124,0.1538745588900258,1.2747602206763848
16,PHL_AUS_CHN_HKG_IDN_IND_JPN_MMR_MYS_NZL_PAK_QAT_SGP_THA_TWN_USA_VNM,0.007216311409138143,0.004459978546947241,15.754232180315658,20.899894076427906,-0.054311349987983704,-0.053422143540405,1.3547531709279872
7,PHL_IDN_JPN_MMR_QAT_THA_TWN_VNM,0.005554356030188501,0.006535029504448175,15.186769057008771,22.46262328593967,-0.07071135938167572,0.00725443725577575,1.2899896284776444
4,PHL_JPN_MMR_PAK_QAT,0.009014760958962142,0.00648859515786171,18.672285549995255,22.626752795048095,-0.07179971039295197,0.008376094961209325,1.177399033187344
